datetime,open,high,low,close,volume,rsi,ema_20,signal
2025-06-03 15:30:00,596.255,596.32001,596.059998,596.28003,170003.0,,596.28003,0
2025-06-03 15:31:00,596.27502,596.41,596.21997,596.34003,145042.0,,596.3115300000001,0
2025-06-03 15:32:00,596.34998,596.35,596.22,596.29999,191821.0,,596.3072925811824,0
2025-06-03 15:33:00,596.29999,596.34003,596.25,596.26001,128650.0,,596.2936428310474,0
2025-06-03 15:34:00,596.25,596.27002,596.15997,596.21997,138709.0,,596.2758220001592,0
2025-06-03 15:35:00,596.21002,596.44,596.19,596.40997,260609.0,,596.3041211005934,0
2025-06-03 15:36:00,596.40997,596.435,596.32,596.35999,239418.0,,596.3146845266148,0
2025-06-03 15:37:00,596.35999,596.375,596.28,596.34003,114840.0,,596.3190656190451,0
2025-06-03 15:38:00,596.33002,596.45001,596.29999,596.39001,148140.0,,596.3304454446513,0
2025-06-03 15:39:00,596.29999,596.45001,596.28998,596.29999,154848.0,,596.3258591185783,0
2025-06-03 15:40:00,596.28998,596.37,596.09,596.13,252976.0,,596.2979114276486,0
2025-06-03 15:41:00,596.12,596.20502,596.01,596.099976,204701.0,,596.2709470495861,0
2025-06-03 15:42:00,595.94,596.11499,595.92999,595.94,166753.0,,596.22763798485,0
2025-06-03 15:43:00,595.94,596.090027,595.90503,596.0,338945.0,31.956544346482744,596.1988731353565,0
2025-06-03 15:44:00,595.96997,596.0,595.79999,595.94,200354.0,29.26135379405939,596.1671487370519,0
2025-06-03 15:45:00,595.91998,596.039001,595.88,595.995,167884.0,34.69824498026139,596.14661307286,0
2025-06-03 15:46:00,596.0,596.01001,595.65997,595.66998,274236.0,23.300988484901623,596.0910908281912,0
2025-06-03 15:47:00,595.67999,595.96,595.67499,595.95502,356564.0,41.461076584608826,596.0755699728192,0
2025-06-03 15:48:00,595.9549,596.04,595.65,595.69501,244082.0,33.63727372402656,596.0329637018002,0
2025-06-03 15:49:00,595.69,595.71002,595.35999,595.52002,470700.0,29.59026581003961,595.976480499246,0
2025-06-03 15:50:00,595.52002,595.77,595.22998,595.7699,388160.0,40.583452996888106,595.9540661969447,0
2025-06-03 15:51:00,595.77002,595.78003,595.52,595.71539,371105.0,39.14755072751355,595.9285084458359,0
2025-06-03 15:52:00,595.70001,595.79498,595.53998,595.78998,238893.0,42.16312357876665,595.9138482665636,0
2025-06-03 15:53:00,595.79999,595.98499,595.78497,595.92999,359721.0,47.42933581221976,595.9155386123798,0
2025-06-03 15:54:00,595.92999,596.22,595.87,595.96997,711827.0,48.86123415946117,595.9211850781452,0
2025-06-03 15:55:00,595.97998,596.23999,595.78,596.18011,550557.0,55.69243737934913,595.9478184635534,0
2025-06-03 15:56:00,596.19,596.27002,596.12,596.25,381966.0,57.71554370995569,595.9786661240419,0
2025-06-03 15:57:00,596.26001,596.5,596.21997,596.45001,458169.0,62.93185030883574,596.0264552964858,0
2025-06-03 15:58:00,596.44501,596.495,596.32001,596.40002,780013.0,60.909377774082415,596.064099167209,0
2025-06-03 15:59:00,596.39001,596.45001,595.95001,596.10999,1441182.0,50.72413763039635,596.0686981184489,0
